timestamp,output-volume
1658188800000,3326550.2721271534
1658275200000,2573993.500964621
1658361600000,3759916.7023962364
1658448000000,3237588.5031510214
1658534400000,2654289.091787272
1658620800000,1699845.6369709196
1658707200000,3753288.8881868296
1658793600000,5210200.533501431
1658880000000,3749740.110883333
1658966400000,3178041.8131235903
1659052800000,3425362.2152062766
1659139200000,1805369.2393478816
1659225600000,1566853.9576974483
1659312000000,3451792.690272312
1659398400000,3848350.0719659138
1659484800000,4346314.72139846
1659571200000,3705608.540538079
1659657600000,4429126.362053216
1659744000000,2376954.013019606
1659830400000,1245601.1011729778
1659916800000,5535643.639714604
1660003200000,3982542.211739573
1660089600000,4707647.916283882
1660176000000,3822312.045913875
1660262400000,2556005.268895124
1660348800000,1766078.3451012822
1660435200000,1232189.9675736786
1660521600000,3447594.1144452193
1660608000000,3290019.3759421282
1660694400000,3486262.9541284684
1660780800000,2472311.307709068
1660867200000,4540414.320883608
1660953600000,4251579.265391692
1661040000000,2235957.7253973833
1661126400000,5140360.63634013
1661212800000,5178174.48151587
1661299200000,3602882.929386728
1661385600000,3252453.4203076763
1661472000000,2905835.770471331
1661558400000,2997839.6654565064
1661644800000,1801926.9700546167
1661731200000,3703055.5399273834
1661817600000,3449140.856145006
1661904000000,4242118.662207318
1661990400000,4197325.022564245
1662076800000,3912131.5957854963
1662163200000,1971909.483644446
1662249600000,2520344.7297812453
1662336000000,4359954.353953268
1662422400000,6433456.75445262
1662508800000,5792815.361628444
1662595200000,4935443.096167318
1662681600000,4131765.663908668
1662768000000,2332596.900838978
1662854400000,1309161.356705137
1662940800000,2424473.589455792
1663027200000,2854240.2616934623
1663113600000,4575128.29641882
1663200000000,4070145.8836299563
1663286400000,3118813.4483982488
1663372800000,1862224.1661838284
1663459200000,1959548.7609477157
1663545600000,4848041.567004029
1663632000000,4501260.7516595125
1663718400000,4653045.127716519
1663804800000,3468487.3327136566
1663891200000,2872055.0901027084
1663977600000,1573602.1006089486
1664064000000,1805999.893671144
1664150400000,3041921.6551333037
1664236800000,2802125.310309138
1664323200000,3245541.848859748
1664409600000,2775712.7277221647
1664496000000,2587327.687655887
1664582400000,1450113.1618801192
1664668800000,1197649.4389986398
1664755200000,2421937.1087675253
1664841600000,2470136.433384029
1664928000000,2144871.821332041
1665014400000,1718745.064993171
1665100800000,1779581.6874984638
1665187200000,1452643.7094669903
1665273600000,1512885.741051015
1665360000000,2316428.003941476
1665446400000,2655452.170246279
1665532800000,2379349.684720743
1665619200000,2738882.9441652996
1665705600000,1979394.524742859
1665792000000,897539.1078840513
1665878400000,836631.3579371872
1665964800000,1527703.4443137392
1666051200000,2248936.216591104
1666137600000,2344968.418260424
1666224000000,1777927.965661052
1666310400000,1862711.191530962
1666396800000,1261099.294643949
1666483200000,1297836.7858057516
1666569600000,1844797.6466453774
1666656000000,1891425.340954984
1666742400000,2570391.3850524626
1666828800000,2653049.6426012316
1666915200000,1819986.147359374
1667001600000,1846580.7331104982
1667088000000,1323024.3160765
1667174400000,2101561.4841118557
1667260800000,2112775.542126166
1667347200000,2461202.9228104325
1667433600000,3427399.934423203
1667520000000,3677486.708537386
1667606400000,1912637.8599863178
1667692800000,3904182.570971956
1667779200000,3924826.372319456
1667865600000,2127550.488696613
1667952000000,3710317.2516000043
1668038400000,3918655.7651363993
1668124800000,4083747.7806559545
1668211200000,2511160.2204935485
1668297600000,3371576.6816561674
1668384000000,3181831.0516961063
1668470400000,2704574.949456217
1668556800000,2197904.1846294017
1668643200000,1608293.9950869407
1668729600000,1797707.1688343533
1668816000000,1188723.0113534098
1668902400000,1633639.7550753946
1668988800000,1744871.1383014452
1669075200000,1528416.0096948573
1669161600000,1271249.922801923
1669248000000,929311.3968511923
1669334400000,1517766.1015952455
1669420800000,794920.3345765442
1669507200000,693341.9995760687
1669593600000,988137.3833619938
1669680000000,943505.6675236494
1669766400000,867578.712561914
1669852800000,891519.367442129
1669939200000,814875.1287351571
1670025600000,686948.1327285091
1670112000000,561992.0040751582
1670198400000,922708.7354684426
1670284800000,806304.5718507229
1670371200000,894608.8607571822
1670457600000,942080.8327875861
1670544000000,881416.3850032636
1670630400000,675374.8720834216
1670716800000,629574.6375548412
1670803200000,869451.699343001
1670889600000,1262929.2437165785
1670976000000,1372297.6011682807
1671062400000,1035331.2315554506
1671148800000,1122824.3291111407
1671235200000,788260.7326860706
1671321600000,707201.717852375
1671408000000,1048878.135590823
1671494400000,992503.2210049293
1671580800000,864794.505277045
1671667200000,821592.263027596
1671753600000,884534.8023663283
1671840000000,605647.1398725724
1671926400000,575331.1691897305
1672012800000,659881.7812890987
1672099200000,741006.8047307775
1672185600000,873018.2612190844
1672272000000,869143.2756851362
1672358400000,886838.7021504453
1672444800000,626344.3208336479
1672531200000,557067.332262394
1672617600000,687118.9776571828
1672704000000,826711.6094618037
1672790400000,873364.0109654499
1672876800000,880423.9940730534
1672963200000,996723.0636320307
1673049600000,746382.9465509554
1673136000000,713516.5269486653
1673222400000,1053342.293093283
1673308800000,976337.6001155049
1673395200000,861426.9800475255
1673481600000,1084938.9204250053
1673568000000,1086017.6112302993
1673654400000,923781.2199786324
1673740800000,752455.5370939483
1673827200000,828838.3479693823
1673913600000,1006166.2339713434
1674000000000,900026.6785086121
1674086400000,814820.2785567177
1674172800000,827030.5738233835
1674259200000,838929.5034871416
1674345600000,650097.114125325
1674432000000,848769.1028921938
1674518400000,759210.1265135878
1674604800000,847506.3279130658
1674691200000,784070.9508340667
1674777600000,789086.1864345849
1674864000000,517435.0475324572
1674950400000,573135.4241984705
1675036800000,924370.8234399521
1675123200000,908323.2859659084
1675209600000,911899.7637717149
1675296000000,776455.8471580569
1675382400000,809822.7737551205
1675468800000,507403.12963310286
1675555200000,540584.5652039285
1675641600000,671736.8866659637
1675728000000,630915.6804094125
1675814400000,659626.1379652941
1675900800000,828184.7830230664
1675987200000,1382005.0176888267
1676073600000,834625.6894330408
1676160000000,699951.654461246
1676246400000,872938.391430793
1676332800000,764498.9395732475
1676419200000,814499.2646493865
1676505600000,1009943.341510831
1676592000000,930402.371133152
1676678400000,606231.260338933
1676764800000,498507.2752584315
1676851200000,698279.6512245615
1676937600000,835617.7136777074
1677024000000,813277.0999975661
1677110400000,840061.7218984256
1677196800000,850392.1135070135
1677283200000,569976.5627770093
1677369600000,550687.8074531516
1677456000000,762396.4265359509
1677542400000,840027.3876563639
1677628800000,843483.4423087206
1677715200000,818901.8536589129
1677801600000,951626.1473830347
1677888000000,574022.9648788829
1677974400000,583585.3670274826
1678060800000,769803.719008818
1678147200000,933882.0142559491
1678233600000,868038.8880111082
1678320000000,844190.9544382605
1678406400000,996440.5874226227
1678492800000,939584.3290062778
1678579200000,669286.141021785
1678665600000,1160391.5569376382
1678752000000,1168826.667879912
1678838400000,983348.8119349885
1678924800000,863763.3500342907
1679011200000,1149279.6105812485
1679097600000,785430.403832501
1679184000000,885659.792759561
1679270400000,1314125.8818504855
1679356800000,1158929.578828573
1679443200000,1050567.9442643155
1679529600000,1044625.1635736703
1679616000000,1093192.698290044
1679702400000,741608.2616849393
1679788800000,736387.1193340364
1679875200000,1118894.8762678185
1679961600000,1145221.3420200294
1680048000000,1120186.1227902586
1680134400000,1514168.42260279
1680220800000,1077365.2317676176
1680307200000,787630.2735557841
1680393600000,753672.8191899671
1680480000000,1064866.0830620634
1680566400000,1098520.0570018173
1680652800000,1117417.629261955
1680739200000,1031407.7811353279
1680825600000,772690.6651893914
1680912000000,583223.4414883022
1680998400000,591051.8908094617
1681084800000,947863.3777688831
1681171200000,963260.8709968253
1681257600000,1182479.7309788892
1681344000000,778872.4000004624
1681430400000,1029306.275224179
1681516800000,768118.8016758239
1681603200000,634651.9199273577
1681689600000,1100206.0671141814
1681776000000,799434.5492856022
1681862400000,786134.4406258309
1681948800000,788964.6979591247
1682035200000,838265.8303889454
1682121600000,553571.7770469534
1682208000000,487623.2553658754
1682294400000,815330.5543160394
1682380800000,797672.5708803484
1682467200000,897233.8573899134
1682553600000,869057.0062128896
1682640000000,863516.8474436153
1682726400000,589539.4343604173
1682812800000,676938.3538977067
1682899200000,816867.80037674
1682985600000,673165.5041069923
1683072000000,951363.8871065668
1683158400000,838973.7156321363
1683244800000,821755.2957860519
1683331200000,872788.127934755
1683417600000,1020109.309876
1683504000000,800540.696421211
1683590400000,745971.0085325907
1683676800000,847529.6317737019
1683763200000,854687.5777519386
1683849600000,961567.3125304152
1683936000000,527760.2436363552
1684022400000,521803.0704965116
1684108800000,718574.0874533715
1684195200000,884090.8603749563
1684281600000,836811.1948932902
1684368000000,834936.154466927
1684454400000,731605.8663496075
1684540800000,488585.64961757895
1684627200000,532324.9063328151
1684713600000,837237.7582461869
1684800000000,948190.1385855927
1684886400000,991723.4285446507
1684972800000,849143.1488337782
1685059200000,720918.5863451165
1685145600000,541931.8974443405
1685232000000,630627.1936986909
1685318400000,880581.2657687835
1685404800000,1012502.2653398761
1685491200000,1390860.7624147716
1685577600000,1100258.0897132698
1685664000000,1256071.1651489728
1685750400000,819875.2366021198
1685836800000,962564.3928059011
1685923200000,1536383.675306426
1686009600000,1353634.713884442
1686096000000,1020736.8918145619
1686182400000,1059386.5714597565
1686268800000,1118985.1425051205
1686355200000,1031633.6773464434
1686441600000,1025490.6997306608
1686528000000,1167701.6224063758
1686614400000,1001925.9582235044
1686700800000,960062.1867403256
1686787200000,931644.1196554066
1686873600000,992766.0933379089
1686960000000,677173.3202912217
1687046400000,755464.6991560179
1687132800000,957852.9124955928
1687219200000,1060969.171650034
1687305600000,1219055.77862459
1687392000000,1175385.9885338095
1687478400000,1059356.2074180439
1687564800000,729531.7530779238
1687651200000,776166.1887162057
1687737600000,1042169.6958935944
1687824000000,989993.555701595
1687910400000,931843.2289083635
1687996800000,1141335.525933798
1688083200000,1147700.6111096765
1688169600000,760626.7491408052
1688256000000,589951.4184571125
1688342400000,929045.208527094
1688428800000,877207.5105269701
1688515200000,843727.5042979434
1688601600000,928908.8471467932
1688688000000,924497.3383687681
1688774400000,708110.538873335
1688860800000,721745.7382179768
1688947200000,913774.6374530159
1689033600000,815970.1876022136
1689120000000,904499.0041863366
1689206400000,930321.1689789483
1689292800000,946356.1511906988
1689379200000,680788.2195990614
1689465600000,686696.6677355781
1689552000000,865536.8885895377
